section_id,table_index,left,right
"weights-and-measures","0","3 teaspoons","1 tablespoon"
"weights-and-measures","0","2 tablespoons","1/8 cup"
"weights-and-measures","0","4 tablespoons","1/4 cup"
"weights-and-measures","0","5 1/3 tablespoons","1/3 cup"
"weights-and-measures","0","8 tablespoons","1/2 cup"
"weights-and-measures","0","10 2/3 tablespoons","2/3 cup"
"weights-and-measures","0","12 tablespoons","3/4 cup"
"weights-and-measures","0","14 tablespoons","7/8 cup"
"weights-and-measures","0","16 tablespoons","1 cup"
"weights-and-measures","1","1 cup","8 fluid ounces"
"weights-and-measures","1","1 cup","1/2 pint"
"weights-and-measures","1","2 cups","1 pint"
"weights-and-measures","1","4 cups","1 quart"
"weights-and-measures","1","4 quarts","1 gallon"
"weights-and-measures","1","8 quarts","1 peck"
"weights-and-measures","1","4 pecks","1 bushel"
"weights-and-measures","1","1 liter","2.1 pints"
"weights-and-measures","1","1 kilogram","2.2 pounds"
"weights-and-measures","1","28.3 grams","1 ounce"
"substitutions","0","1 tablespoon cornstarch (for thickening)","2 tablespoons flour"
"substitutions","0","1 cup sifted all-purpose flour","1 cup plus 2 tablespoons sifted cake flour"
"substitutions","0","1 square chocolate (1 ounce)","3 tablespoons cocoa plus 1 tablespoon butter"
"substitutions","0","1 teaspoon baking powder","1/4 teaspoon baking soda plus 1/2 teaspoon cream of tartar"
"substitutions","0","1 cup milk","1/2 cup evaporated milk plus 1/2 cup water"
"substitutions","0","1 cup sour milk","1 cup sweet milk into which 1 tablespoon vinegar or lemon juice has been mixed. 1 cup buttermilk may also be used."
"substitutions","0","1 cup sweet milk","1 cup sour milk or buttermilk plus 1/2 teaspoon baking soda"
