category	status	acao	ctype	url
big-site-jsonld	403	none	text/plain	https://www.allrecipes.com/recipe/20144/banana-banana-bread/
big-site-jsonld	403	none	text/plain	https://www.seriouseats.com/the-best-chocolate-chip-cookies-recipe
big-site-jsonld	403	none	text/html	https://www.foodnetwork.com/recipes/alton-brown/the-chewy-recipe-1909046
big-site-jsonld	403	none	text/plain	https://www.bonappetit.com/recipe/bas-best-chocolate-chip-cookies
big-site-jsonld	403	none	text/plain	https://www.epicurious.com/recipes/food/views/classic-buttermilk-pancakes
big-site-jsonld	403	none	text/plain	https://www.simplyrecipes.com/recipes/banana_bread/
big-site-jsonld	200	none	text/html	https://www.food.com/recipe/best-banana-bread-2886
big-site-jsonld	200	none	text/html	https://www.tasteofhome.com/recipes/best-ever-banana-bread/
big-site-jsonld	403	none	text/plain	https://www.delish.com/cooking/recipe-ideas/a19636089/best-banana-bread-recipe/
big-site-jsonld	308	none	text/html	https://www.thekitchn.com/how-to-make-banana-bread-recipe-259478
big-site-jsonld	404	none	text/html	https://www.kingarthurbaking.com/recipes/classic-banana-bread-recipe
big-site-jsonld	403	none	text/plain	https://cooking.nytimes.com/recipes/1016270-baked-macaroni-and-cheese
blog-jsonld	404	none	text/html	https://smittenkitchen.com/2013/07/summer-squash-pizza/
blog-jsonld	404	*	text/html	https://minimalistbaker.com/1-bowl-banana-bread-v-gf/
blog-jsonld	404	none	text/html	https://www.budgetbytes.com/homemade-pizza-dough/
blog-jsonld	404	none	text/html	https://sallysbakingaddiction.com/banana-bread/
blog-jsonld	404	none	text/html	https://cookieandkate.com/best-banana-bread-recipe/
blog-jsonld	200	none	text/html	https://www.loveandlemons.com/banana-bread/
blog-jsonld	200	none	text/html	https://pinchofyum.com/the-best-soft-chocolate-chip-cookies
blog-jsonld	200	none	text/html	https://www.gimmesomeoven.com/banana-bread-recipe/
blog-jsonld	200	none	text/html	https://thewoksoflife.com/kung-pao-chicken/
blog-jsonld	301	none	text/html	https://www.recipetineats.com/banana-bread/
blog-no-jsonld	404	none	text/html	https://www.davidlebovitz.com/chocolate-idiot-cake-flourless-recipe/
blog-no-jsonld	200	none	text/html	https://www.101cookbooks.com/instant-pot-minestrone-soup-recipe/
microdata-era	301	none	text/html	https://www.geniuskitchen.com/recipe/best-banana-bread-2886
microdata-era	308	none	text/plain	https://www.bettycrocker.com/recipes/classic-banana-bread/
hrecipe-era	200	none	text/html	https://www.chef-menus.com/
rdfa-era	404	none	text/html	https://www.jamieoliver.com/recipes/bread-recipes/easy-bread-recipe/
big-site-eu	403	none	text/plain	https://www.bbcgoodfood.com/recipes/best-ever-chocolate-brownies-recipe
big-site-eu	403	none	text/plain	https://www.bbc.co.uk/food/recipes/banana_bread_49193
non-english-fr	403	none	text/plain	https://www.marmiton.org/recettes/recette_cake-a-la-banane_39670.aspx
non-english-de	403	none	text/plain	https://www.chefkoch.de/rezepte/1076041211387405/Bananenbrot.html
non-english-it	200	none	text/html	https://ricette.giallozafferano.it/Banana-bread.html
non-english-es	404	none	text/html	https://www.directoalpaladar.com/postres/banana-bread-pan-de-platano-receta
js-rendered	301	none	text/plain	https://www.hellofresh.com/recipes/creamy-dijon-chicken
consent-wall-eu	403	none	text/plain	https://www.marmiton.org/recettes/recette_pancakes_18449.aspx
aggregator	301	none	text/html	https://www.yummly.com/recipe/Banana-Bread-9530120
aggregator	429	none	text/html	https://www.food52.com/recipes/22467-banana-bread
wiki-open	200	none	text/html	https://en.wikibooks.org/wiki/Cookbook:Banana_Bread
gov-open	503	none	text/html	https://www.myplate.gov/recipes/supplemental-nutrition-assistance-program-snap/banana-bread
newsletter	403	none	text/plain	https://www.seriouseats.com/classic-panzanella-salad-recipe-5197874
